date,ticker,sentiment_score
2021-06-27,ADANIENT.NS,0.579
2021-07-04,ADANIENT.NS,-1.0
2021-07-11,ADANIENT.NS,0.0
2021-07-18,ADANIENT.NS,-1.0
2021-07-25,ADANIENT.NS,1.0
2021-08-01,ADANIENT.NS,1.0
2021-08-08,ADANIENT.NS,0.579
2021-08-15,ADANIENT.NS,-1.0
2021-08-22,ADANIENT.NS,1.0
2021-08-29,ADANIENT.NS,1.0
2021-09-05,ADANIENT.NS,0.579
2021-09-12,ADANIENT.NS,1.0
2021-09-19,ADANIENT.NS,-1.0
2021-09-26,ADANIENT.NS,1.0
2021-10-03,ADANIENT.NS,0.0
2021-10-10,ADANIENT.NS,1.0
2021-10-17,ADANIENT.NS,1.0
2021-10-24,ADANIENT.NS,-1.0
2021-10-31,ADANIENT.NS,-1.0
2021-11-07,ADANIENT.NS,1.0
2021-11-14,ADANIENT.NS,0.579
2021-11-21,ADANIENT.NS,0.0
2021-11-28,ADANIENT.NS,1.0
2021-12-05,ADANIENT.NS,1.0
2021-12-12,ADANIENT.NS,1.0
2021-12-19,ADANIENT.NS,-1.0
2021-12-26,ADANIENT.NS,1.0
2022-01-02,ADANIENT.NS,1.0
2022-01-09,ADANIENT.NS,0.0
2022-01-16,ADANIENT.NS,1.0
2022-01-23,ADANIENT.NS,-1.0
2022-01-30,ADANIENT.NS,-1.0
2022-02-06,ADANIENT.NS,1.0
2022-02-13,ADANIENT.NS,1.0
2022-02-20,ADANIENT.NS,-1.0
2022-02-27,ADANIENT.NS,-1.0
2022-03-06,ADANIENT.NS,0.0
2022-03-13,ADANIENT.NS,1.0
2022-03-20,ADANIENT.NS,0.579
2022-03-27,ADANIENT.NS,0.579
2022-04-03,ADANIENT.NS,1.0
2022-04-10,ADANIENT.NS,1.0
2022-04-17,ADANIENT.NS,0.0
2022-04-24,ADANIENT.NS,1.0
2022-05-01,ADANIENT.NS,0.579
2022-05-08,ADANIENT.NS,-1.0
2022-05-15,ADANIENT.NS,-1.0
2022-05-22,ADANIENT.NS,1.0
2022-05-29,ADANIENT.NS,-1.0
2022-06-05,ADANIENT.NS,1.0
2022-06-12,ADANIENT.NS,1.0
2022-06-19,ADANIENT.NS,-1.0
2022-06-26,ADANIENT.NS,1.0
2022-07-03,ADANIENT.NS,1.0
2022-07-10,ADANIENT.NS,1.0
2022-07-17,ADANIENT.NS,0.579
2022-07-24,ADANIENT.NS,1.0
2022-07-31,ADANIENT.NS,1.0
2022-08-07,ADANIENT.NS,1.0
2022-08-14,ADANIENT.NS,1.0
2022-08-21,ADANIENT.NS,1.0
2022-08-28,ADANIENT.NS,0.0
2022-09-04,ADANIENT.NS,1.0
2022-09-11,ADANIENT.NS,1.0
2022-09-18,ADANIENT.NS,1.0
2022-09-25,ADANIENT.NS,1.0
